url;title;timestamp;writer;shares_count;comments_count;summary;sources;categories
https://www.tecmundo.com.br/cultura-geek/204884-netflix-acusada-promover-pornografia-infantil-eua.htm;Netflix é acusada de promover 'pornografia infantil' nos EUA;2020-10-06T23:00:01;André Luiz Dias Gonçalves;0;0;O tribunal do condado de Tyler, no Texas (Estados Unidos), indiciou a Netflix por supostamente divulgar “material obsceno” ao promover o filme Lindinhas no país. A produção foi disponibilizada aos assinantes no início de setembro.;Variety,NBC,New York Post,Cultura Geek,Netflix,Filmes,Streaming;Cultura Geek,Netflix,Filmes,Streaming
https://www.tecmundo.com.br/ciencia/204880-astronomos-registram-imagem-direta-exoplaneta-1-vez.htm;Astrônomos registram imagem direta de um exoplaneta pela 1ª vez;2020-10-06T22:30:01;André Luiz Dias Gonçalves;6;0;Uma equipe de astrônomos do Instituto Max Planck de Astronomia e Física Extraterrestre conseguiu identificar a existência de um exoplaneta por observação direta pela primeira vez em combinação com o método de medição de velocidade radial. A descoberta foi descrita em um estudo publicado na revista Astronomy & Astrophysics na última sexta-feira (02).;Astronomy & Astrophysics,Futurism,Phys.org,Ciência,Astronomia,História;Ciência,Astronomia,História
https://www.tecmundo.com.br/cultura-geek/204885-jurassic-world-proximo-filme-franquia-adiado-2022.htm;Jurassic World: próximo filme da franquia é adiado para 2022;2020-10-06T21:35:09;Robinson Samulak Alves;0;0;Jurassic World: Dominion, próximo filme da franquia, teve sua estreia adiada em um ano. Inicialmente previsto para chegar aos cinemas dos Estados Unidos no verão de 2021, o longa passou para 10 de junho de 2022.;Variety,Cultura Geek,Cinema,Cinema e Seriados,Filmes;Cultura Geek,Cinema,Cinema e Seriados,Filmes
https://www.tecmundo.com.br/ciencia/204875-marte-ponto-proximo-terra-veja.htm;"Marte está no ponto mais próximo da Terra; veja hoje";2020-10-06T21:30:00;Ramalho Lima;8;0;Neste outubro, Marte está na posição mais próxima da Terra até 2035. Hoje pela manhã, por voltas das 11h18 (horário de Brasília), o Planeta Vermelho ficou a 62.070.493 quilômetros de distância do nosso planeta. Aproximação como essa só poderá ser presenciada novamente daqui a 15 anos.;Earth Sky,Space,Pixabay: thumb,Ciência,Astronomia;Ciência,Astronomia
https://www.tecmundo.com.br/ciencia/204873-nasa-testa-novo-traje-espacial-proxima-missao-lua.htm;NASA testa novo traje espacial para próxima missão à Lua;2020-10-06T20:30:01;Reinaldo Zaruvni;0;0;Primeiro traje espacial inédito desenvolvido pela NASA em mais de 40 anos, a Unidade de Mobilidade Extraveicular de Exploração (ou apenas xEMU), que deve ser utilizada na próxima missão lunar tripulada, já está em fase de testes. Mesmo que não tenha sido finalizada, tudo segue de acordo com o cronograma, afirma George Nield, representante da agência norte-americana.;Space,Ciência,NASA,Exploração espacial;Ciência,NASA,Exploração espacial
https://www.tecmundo.com.br/produto/204868-dell-lanca-monitor-2-pcs-mesmo-tempo-1-mini-led-mundo.htm;Dell lança monitor para 2 PCs ao mesmo tempo e 1º mini-LED do mundo;2020-10-06T20:00:01;Mateus Mognon;0;0;A Dell anunciou uma série de novos monitores, incluindo o modelo UltraSharp 32 HDR PremierColor, que estreia a tecnologia mini-LED no mercado de telas profissionais. A companhia também apresentou novos dispositivos que podem ser utilizados em mais de um dispositivo simultaneamente. Sim, um monitor para dois computadores.;Ars Technica,Windows Central,Microsoft Power User,Produto,Dell,Monitor;Produto,Dell,Monitor
https://www.tecmundo.com.br/produto/204858-qualcomm-marca-anuncio-novo-snapdragon-875-dezembro.htm;Qualcomm marca anúncio do novo Snapdragon 875 para dezembro;2020-10-06T19:30:01;Adriano Camacho Vieira Júnior;0;0;A Qualcomm definiu a data de revelação do seu novo chipset para celulares, o Snapdragon 875. O anúncio confirma que a empresa deve manter sua tradição e apresentar seus novos produtos no início de dezembro, mas dessa vez vai optar por um evento digital nos dias 1 e 2 de dezembro.;GSM Arena,Produto,Qualcomm,Processadores;Produto,Qualcomm,Processadores
https://www.tecmundo.com.br/redes-sociais/204861-instagram-comentarios-ofensivos-ocultados-via-ia.htm;Instagram: comentários ofensivos serão ocultados via IA;2020-10-06T18:30:01;Jorge Marin;0;0;Hoje é aniversário do Instagram e, para comemorar seus dez anos de existência, a rede social está lançando um pacote de recursos visuais que permitem até que você altere o ícone do aplicativo. Há também alguns novos recursos que indicam a preocupação da empresa com comentários abusivos na plataforma.;The Next Web,Redes Sociais,Instagram,Inteligência artificial;Redes Sociais,Instagram,Inteligência artificial
https://www.tecmundo.com.br/voxel/204853-fifa-21-aprenda-usar-companion-app-o-web-app-ultimate-team.htm;Web App Fut 21: aprenda a usar o Companion App e o Web App do Ultimate Team;2020-10-06T18:00:00;Gabriel Witiuk;0;0;Você é fã de FIFA 21 e adora jogar um Ultimate Team? Se sim, já deve saber que a EA Sports está disponibilizando dois aplicativos para facilitar a experiência no modo de jogo. Chamadas de Companion App e Web App, as plataformas ampliam a experiência para além do jogo original.;EA,Voxel,Jogos,FIFA 20;Voxel,Jogos,FIFA 20
https://www.tecmundo.com.br/mercado/204856-black-friday-2020-google-apresenta-principais-tendencias.htm;Black Friday 2020: Google apresenta principais tendências;2020-10-06T17:30:01;Kris Gaiato;8;6;A Google apresentou nesta terça-feira (06) as principais tendências para a Black Friday 2020, indicando mudanças no comportamento do consumidor e influência da pandemia nas compras online.;Google,Mercado,Black Friday,Google Search;Mercado,Black Friday,Google Search
